Nom_atelier,annee,Lieu,geoloc,Auteurs,Forme_interrogative,Institutions,keywords
Les outils collaboratifs / Collaboration tools,2010,Paris,"48.857730, 2.352069",Muriel Foulonneau; Frédéric Clavert,NON,,
"Les archives de chercheurs : classification, archivage et dissémination… quelles méthodes pour promouvoir les formats ouverts et libres?",2010,Paris,"48.857730, 2.352070",Richard Walter,OUI,,
"Le chercheur et la diffusion de ses sources : nécessités, risques, contraintes, reconnaissances?",2010,Paris,"48.857730, 2.352071",Marin Dacos,OUI,,
"Enseignement supérieur et Digital Humanities : questions de formation, définitions d’un socle commun transdisciplinaire et des applications propres aux disciplines",2010,Paris,"48.857730, 2.352072",Corinne Welger-Barboza,NON,,
Fouille de données et Sciences Humaines ou Fouille de données en Sciences Humaines,2010,Paris,"48.857730, 2.352073",Julien Velcin,NON,,
Les fonds iconographiques numériques,2010,Paris,"48.857730, 2.352074",Stéphane Pouyllau,NON,,
Les SIG géo-historiques,2010,Paris,"48.857730, 2.352075",Jean-Luc Pinol; Claire-Charlotte Butez,NON,,
Les archives orales et le web,2010,Paris,"48.857730, 2.352076",Frédéric Clavert,NON,,
"Qualité de l’information, maintien collaboratif des ontologies, infrastructure mutualisée : quel socle technologique pour les digital humanities ?",2010,Paris,"48.857730, 2.352077",Damien Roussat,OUI,,
Le défi du stockage collaboratif et cumulatif de l’information historique. Quelle modélisation pour l’information historique ?,2010,Paris,"48.857730, 2.352078",Francesco Beretta; Pierre Vernus,OUI,,
"L’archivage numérique à long terme, défis et solutions",2010,Paris,"48.857730, 2.352079",Sarah Faraud; Gautier Poupeau,NON,,
L’encodage TEI peut-il être délégué à des ingénieurs ou techniciens ?,2010,Paris,"48.857730, 2.352080",Emmanuelle Morlock-Gerstenkorn,OUI,,
Analyse de données en ligne : quels intérêts et avenir pour les SHS ?,2010,Paris,"48.857730, 2.352081",Stéphane Lamassé; Philippe Rygiel,OUI,,
"Les enjeux du numérique pour les jeunes chercheurs en SHS: visibilité, citabilité, pérennité",2010,Paris,"48.857730, 2.352082","Karim Hammou, Émilie Bremond",NON,,
L’historien programmeur,2012,Paris,"48.857730, 2.352055",Frédéric Clavert; Aurélien Berra; Franziska Heimburger,NON,,
Diffusion des sciences humaines vers un public plus large : panorama des outils de médiation numériques,2012,Paris,"48.857730, 2.352056",Isabelle Jouve; Lars Wieneke,NON,,
Comment écrire pour un carnet de recherche ?,2012,Paris,"48.857730, 2.352057",Pierre Mounier,OUI,,
Rôle et enjeu du design graphique,2012,Paris,"48.857730, 2.352058",Nicolas Thély; David-Olivier Lartigaud; Gilles Rouffineau,NON,,
Formations et humanités numériques en France,2012,Paris,"48.857730, 2.352059",Aurélien Berra; Florence Clavaud,NON,,
Quels outils numériques au service de la représentation,2012,Paris,"48.857730, 2.352060",Cécile Armand,NON,,
Ouverture des données en SHS,2012,Paris,"48.857730, 2.352061",Elifsu Sabuncu; Antoine Blanchard; Cynthia Pedroja; Anne-Laure Stérin,NON,,
Mémoire et archivage du Web,2012,Paris,"48.857730, 2.352062",Frédéric Clavert; Clément Oury,NON,,
"Comment commencer, poursuivre et pérenniser une revue en ligne?",2012,Paris,"48.857730, 2.352063",Paul-Henri Giraud,OUI,,
"Les réseaux sociaux numériques de chercheurs en SHS : pour qui, pour quoi, comment?",2012,Paris,"48.857730, 2.352064",Nicolas De Lavergne,OUI,,
Utilisons RDFa pour nos corpus,2012,Paris,"48.857730, 2.352065",Stéphane Pouyllau,NON,,
Quelles compétences et littératies pour les DH ?,2012,Paris,"48.857730, 2.352066",Olivier Le Deuff; Aurélien Berra,OUI,,
Editeurs SHS et Digital Humanities,2012,Paris,"48.857730, 2.352067",Marion Colas; Maria Vlachou,NON,,
(re)travailler ses données avec Google-refine,2012,Paris,"48.857730, 2.352068",Sylvain Machefert,NON,,
Quel nom pour les Humanités Numériques/ Digitales ?,2013,Saint-Malo,"48.649684, -2.023304",Aurélien Berra,OUI,,
Création d’une association francophone des Humanités Numériques,2013,Saint-Malo,"48.649684, -2.023305",Frédéric Clavert,NON,,
Questions professionnelles liées aux Humanités Numériques,2013,Saint-Malo,"48.649684, -2.023306",Pierre Mounier,NON,,
Hyphe : outil de création et d’analyse de corpus web,2013,Saint-Malo,"48.649684, -2.023307",Paul Girard,NON,,
"Open data, open access : open humanities",2013,Saint-Malo,"48.649684, -2.023308",Pierre Mounier; Alexandre Serres,NON,,
Le projet de Bruno Latour “Enquête sur les Modes d’Existence”,2013,Saint-Malo,"48.649684, -2.023309","Paul Girard, Christophe Leclercq",NON,,
Comment valoriser les HN : utilisation de Wikipedia et sélection des meilleurs ouvrages,2013,Saint-Malo,"48.649684, -2.023310",Elifsu Sabuncu; Martin Grandjean,NON,,
Graphisme programmé et éditions paramétriques,2013,Saint-Malo,"48.649684, -2.023311",Damien Baïs; Johann Aussage,NON,,
Sémantisation des données culturelles,2013,Saint-Malo,"48.649684, -2.023312",Virginie Pringuet; Antoine Courtin,NON,,
Les coulisses d’une recherche en cours / outils et méthodes,2013,Saint-Malo,"48.649684, -2.023313",Camille Bosqué; Alexandre Dupont,NON,,
Design et outils sémantiques,2013,Saint-Malo,"48.649684, -2.023314",Alexis Chazard,NON,,
Les Humanités Numériques dans une unité de recherche en histoire,2013,Saint-Malo,"48.649684, -2.023315",Aurélie Hess; Martine Cocaud,NON,,
Bibliothèques et Humanités Numériques,2013,Saint-Malo,"48.649684, -2.023316", Olivier Le Deuff,NON,,
Archéologie de l’édition électronique,2013,Saint-Malo,"48.649684, -2.023317",Pierre Braun; Gilles Rouffineau; Nicolas Larrousse,NON,,
Les centres de ressources dédiés aux humanités numériques,2013,Saint-Malo,"48.649684, -2.023318",Johann Holland,NON,,
Les fractures numériques,2013,Saint-Malo,"48.649684, -2.023319",Frédéric Clavert,NON,,
Humanités numériques et bibliothèques ; quelle formations proposées ?,2014,Lyon,"45.763225, 4.830486",,OUI,,
Enquête sur les modes d’existence : 1 an après,2014,Lyon,"45.763225, 4.830487",,NON,,
Vers un nouveau manifeste des humanités numériques/digitales,2014,Lyon,"45.763225, 4.830488",,NON,,
Atelier Gephi,2014,Lyon,"45.763225, 4.830489",,NON,,
Evaluation des projets scientifiques en Humanités numériques,2014,Lyon,"45.763225, 4.830490",,NON,,
Modélisation des données dans les projets DH,2014,Lyon,"45.763225, 4.830491",,NON,,
Quel avenir pour les THATCamp ?,2014,Lyon,"45.763225, 4.830492",,OUI,,
Vers une cite des humanités numériques,2014,Lyon,"45.763225, 4.830493",,NON,,
Dataviz et SHS quel rôle pour l’architecte de l’information,2014,Lyon,"45.763225, 4.830494",,NON,,
Pour une revue francophone en humanités numériques : quel modèle éditorial ?,2014,Lyon,"45.763225, 4.830495",,OUI,,
Discussion autour de « The History Manifesto »,2014,Lyon,"45.763225, 4.830496",,NON,,
Programmation Python,2014,Lyon,"45.763225, 4.830497",,NON,,
HN accessibles à tous,2015,Paris,"48.857730, 2.352038",,NON,,
Plateforme PREVU        ,2015,Paris,"48.857730, 2.352039",,NON,,
Prospero Marlowe,2015,Paris,"48.857730, 2.352040",,NON,,
Ontologie des relations entre entités animées,2015,Paris,"48.857730, 2.352041",,NON,,
Offres d’emploi Digital humanities,2015,Paris,"48.857730, 2.352042",,NON,,
Corpus Web + Hyphe v2,2015,Paris,"48.857730, 2.352043",,NON,,
Définir le champ de l’histoire publique numérique,2015,Paris,"48.857730, 2.352044",,NON,,
Ontologie pour la description des archives,2015,Paris,"48.857730, 2.352045",,NON,,
Méthodologies numériques pour mieux former        ,2015,Paris,"48.857730, 2.352046",,NON,,
Communauté Arts et humanité numérique + Design,2015,Paris,"48.857730, 2.352047",,NON,,
“Je n’ai rien à cacher”,2015,Paris,"48.857730, 2.352048",,NON,,
MOOC BAC humanité numérique,2015,Paris,"48.857730, 2.352049",,NON,,
Base de données francophone des outils pour les humanité numérique,2015,Paris,"48.857730, 2.352050",,NON,,
Pour une histoire longue des humanité numérique,2015,Paris,"48.857730, 2.352051",,NON,,
"Schéma de métadonnées pour les images patrimoniales
",2015,Paris,"48.857730, 2.352052",,NON,,
Outil d’annotation vidéo,2015,Paris,"48.857730, 2.352053",,NON,,
Big Data en SHS + Rekall        ,2015,Paris,"48.857730, 2.352054",,NON,,